category,brand,name,price,detail_url,image_url
토너,라네즈,[미스트 기획/화잘먹] 라네즈 크림스킨 170ml 리필기획 (+170ml 리필+50ml+미스트펌프),26400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233879&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023387943ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,바이오더마,[11월 올영픽] 바이오더마 하이드라비오 토너 500ml 기획(+화장솜 20매 증정),26900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184916&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=2,
토너,토리든,[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),14920,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170266&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017026613ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,브링그린,[피지쓱싹] 브링그린 티트리시카수딩토너 250mL/500mL 기획,13500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189181&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018918135ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,마녀공장,[대용량/총500ml] 마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,17500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148285&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0014/A00000014828525ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,웰라쥬,[첫수분토너/대용량] 웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),19600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188874&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018887447ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,넘버즈인,[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),27000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190395&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0019/A00000019039518ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,에스트라,에스트라 에이시카365 수분토너 pH4.5 200ml,24900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218549&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021854909ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,라로슈포제,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,36000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159921&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=9,
토너,넘버즈인,[모공개선/탄력광채] 넘버즈인 3번 결광가득 에센스 토너 300ml 대용량 기획,23000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173589&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017358913ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
토너,제로이드,[11월 올영픽] 제로이드 인텐시브 크림 토너 200ml,25800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209908&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020990802ko.jpg?l=ko&QT=85&SF=webp&sharpen=1x0.5
